country,revenue
United Kingdom,7414755.963
EIRE,356085.21
Netherlands,268786.0
Germany,202395.321
France,146215.42
Sweden,53171.39
Denmark,50906.85
Spain,47601.42
Switzerland,43921.39
Australia,31446.8
Belgium,24557.08
Channel Islands,24546.32
Norway,23944.18
Portugal,23845.41
Italy,15067.18
Greece,14335.67
Austria,13414.33
Cyprus,11389.75
Japan,9722.02
Finland,7379.46
United Arab Emirates,7300.41
Unspecified,5946.58
Malta,5373.5
Lithuania,4892.68
USA,4786.47
Singapore,4037.77
Poland,3567.8
Israel,3199.4
Thailand,3070.54
Iceland,1323.32
Canada,1216.66
Korea,1118.51
RSA,931.4300000000001
Bahrain,805.97
West Indies,536.41
Brazil,268.27
Nigeria,140.39
