description,revenue
WHITE HANGING HEART T-LIGHT HOLDER,151624.31
REGENCY CAKESTAND 3 TIER,143893.35
Manual,98560.64
ASSORTED COLOUR BIRD ORNAMENT,70493.83
JUMBO BAG RED RETROSPOT,51759.3
POSTAGE,48741.08
ROTATING SILVER ANGELS T-LIGHT HLDR,40186.65
PAPER CHAIN KIT 50'S CHRISTMAS ,36933.5
PARTY BUNTING,35035.9
EDWARDIAN PARASOL NATURAL,34044.75
JUMBO BAG STRAWBERRY,33957.45
VINTAGE UNION JACK BUNTING,33852.96
EDWARDIAN PARASOL BLACK,31457.55
CREAM HEART CARD HOLDER,29911.72
STRAWBERRY CERAMIC TRINKET BOX,29779.86
JUMBO  BAG BAROQUE BLACK WHITE,29493.3
VINTAGE UNION JACK MEMOBOARD,28756.489999999998
HOME BUILDING BLOCK WORD,28206.8
BLACK RECORD COVER FRAME,28144.89
SET/5 RED SPOTTY LID GLASS BOWLS,27814.300000000003
RED HANGING HEART T-LIGHT HOLDER,27386.16
LUNCH BAG RED SPOTTY,27041.3
CHILLI LIGHTS,26573.63
JUMBO STORAGE BAG SUKI,26464.85
RED RETROSPOT CAKE STAND,26385.14
WOOD BLACK BOARD ANT WHITE FINISH,26035.079999999998
JUMBO SHOPPER VINTAGE RED PAISLEY,25610.4
JUMBO BAG PINK VINTAGE PAISLEY,25453.9
COLOUR GLASS. STAR T-LIGHT HOLDER,24985.25
JUMBO BAG PINK WITH WHITE SPOTS,24472.05
JUMBO BAG RED WHITE SPOTTY ,24345.3
JUMBO BAG SCANDINAVIAN PAISLEY,24277.3
SCOTTIE DOG HOT WATER BOTTLE,24263.7
DOOR MAT UNION FLAG,24253.68
CHOCOLATE HOT WATER BOTTLE,23931.600000000002
TEA TIME CAKE STAND IN GIFT BOX,23827.8
HEART OF WICKER LARGE,23636.730000000003
SET/4 WHITE RETRO STORAGE CUBES ,23252.500000000004
WOODEN FRAME ANTIQUE WHITE ,23245.750000000004
RED TOADSTOOL LED NIGHT LIGHT,23068.8
LUNCH BAG  BLACK SKULL.,22561.65
PACK OF 72 RETRO SPOT CAKE CASES,21853.079999999998
RED WOOLLY HOTTIE WHITE HEART.,21830.56
PAPER CHAIN KIT VINTAGE CHRISTMAS,21570.75
PLEASE ONE PERSON METAL SIGN,21104.180000000004
HOT WATER BOTTLE TEA AND SYMPATHY,20854.050000000003
LOVE BUILDING BLOCK WORD,20789.600000000002
PAPER BUNTING RETRO SPOTS,20735.050000000003
ROUND SNACK BOXES SET OF 4 FRUITS ,20361.850000000002
WOOD S/3 CABINET ANT WHITE FINISH,20162.9
BAKING SET 9 PIECE RETROSPOT ,20147.510000000002
BLACK HEART CARD HOLDER,20117.64
EDWARDIAN PARASOL RED,20084.8
RETRO SPOT TEA SET CERAMIC 11 PC ,19965.82
PAPER CHAIN KIT RETRO SPOT,19813.4
LUNCH BAG CARS BLUE,19805.75
SMALL POPCORN HOLDER,19530.96
LUNCH BAG SUKI  DESIGN ,19260.75
LUNCH BAG WOODLAND,18796.0
GRAND CHOCOLATECANDLE,18723.9
ROUND SNACK BOXES SET OF4 WOODLAND ,18708.050000000003
ANTIQUE SILVER TEA GLASS ETCHED,18555.36
RED  HARMONICA IN BOX ,18145.72
WOODEN PICTURE FRAME WHITE FINISH,17677.95
VICTORIAN GLASS HANGING T-LIGHT,17664.4
60 TEATIME FAIRY CAKE CASES,17503.2
PINK HAPPY BIRTHDAY BUNTING,17105.8
COOK WITH WINE METAL SIGN ,17072.16
DOORMAT UNION FLAG,17022.31
NATURAL SLATE HEART CHALKBOARD ,16958.4
VINTAGE UNION JACK CUSHION COVER,16938.17
HEART OF WICKER SMALL,16792.31
JUMBO BAG OWLS,16745.7
ZINC METAL HEART DECORATION,16706.5
BOX OF VINTAGE ALPHABET BLOCKS,16695.9
RECYCLING BAG RETROSPOT ,16434.65
GIN + TONIC DIET METAL SIGN,16384.4
DOORMAT HEARTS,15866.39
3 HEARTS HANGING DECORATION RUSTIC,15607.6
HAND OVER THE CHOCOLATE   SIGN ,15598.94
PINK CREAM FELT CRAFT TRINKET BOX ,15460.279999999999
CERAMIC CAKE STAND + HANGING CAKES,15446.5
SET 7 BABUSHKA NESTING BOXES,15357.800000000001
RETRO SPOT CAKE STAND,15333.199999999999
CREAM SWEETHEART MINI CHEST,15326.56
SWEETHEART CERAMIC TRINKET BOX,15276.14
PACK OF 60 PINK PAISLEY CAKE CASES,15103.75
DOOR MAT RED SPOT,15100.97
PINK 3 PIECE MINI DOTS CUTLERY SET,15085.89
HANGING JAM JAR T-LIGHT HOLDER,15075.31
CREAM CUPID HEARTS COAT HANGER,14864.52
RED/WHITE DOTS RUFFLED UMBRELLA,14802.1
JUMBO BAG SPACEBOY DESIGN,14765.55
RED 3 PIECE MINI DOTS CUTLERY SET,14624.91
LUNCH BAG SPACEBOY DESIGN ,14582.15
WOOD 2 DRAWER CABINET WHITE FINISH,14460.150000000001
COLOUR GLASS T-LIGHT HOLDER HANGING,14250.400000000001
JUMBO BAG WOODLAND ANIMALS,13992.9
TEA TIME PARTY BUNTING,13969.05
LUNCH BAG PINK RETROSPOT,13923.4
BLUE 3 PIECE MINI DOTS CUTLERY SET,13823.91
BLUE HAPPY BIRTHDAY BUNTING,13798.150000000001
PACK OF 6 BIRDY GIFT TAGS,13705.18
LARGE CAKE STAND  HANGING STRAWBERY,13669.32
HEART FILIGREE DOVE  SMALL,13563.03
RED SPOTTY ROUND CAKE TINS,13537.85
SMALL GLASS HEART TRINKET POT,13491.300000000001
SET OF 6 RIBBONS VINTAGE CHRISTMAS,13462.65
FAWN BLUE HOT WATER BOTTLE,13439.650000000001
HANGING HEART ZINC T-LIGHT HOLDER,13282.429999999998
HAND WARMER OWL DESIGN,13195.800000000001
PINK CHERRY LIGHTS,13171.1
FELTCRAFT 6 FLOWER FRIENDS,13089.800000000001
HAND WARMER SCOTTY DOG DESIGN,13002.6
HAND WARMER BIRD DESIGN,12989.7
RED RETROSPOT TRADITIONAL TEAPOT ,12980.04
NO SINGING METAL SIGN,12936.960000000001
SET OF 3 COLOURED  FLYING DUCKS,12869.15
JUMBO BAG TOYS ,12843.35
ASSORTED COLOURS SILK FAN,12784.880000000001
KNITTED UNION FLAG HOT WATER BOTTLE,12728.04
DOOR MAT NEW ENGLAND,12543.42
6 RIBBONS RUSTIC CHARM,12468.75
PINK BLUE FELT CRAFT TRINKET BOX,12346.3
JUMBO STORAGE BAG SKULLS,12342.1
SPACEBOY LUNCH BOX ,12167.699999999999
BLACK/BLUE DOTS RUFFLED UMBRELLA,12107.050000000001
ANTIQUE LILY FAIRY LIGHTS,12085.95
VINTAGE CREAM 3 BASKET CAKE STAND,11860.11
 WHITE CHERRY LIGHTS,11697.300000000001
PLASTERS IN TIN CIRCUS PARADE ,11691.45
VINTAGE HEADS AND TAILS CARD GAME ,11673.12
PACK OF 72 SKULL CAKE CASES,11657.82
PLASTERS IN TIN SPACEBOY,11584.35
MEMO BOARD RETROSPOT  DESIGN,11574.300000000001
PINK PAPER PARASOL ,11573.199999999999
WOODEN CROQUET GARDEN SET,11447.33
HEART IVORY TRELLIS SMALL,11425.31
SILVER HANGING T-LIGHT HOLDER,11323.8
WORLD WAR 2 GLIDERS ASSTD DESIGNS,11319.619999999999
SET/20 RED SPOTTY PAPER NAPKINS ,11318.71
HOT WATER BOTTLE BABUSHKA ,11316.9
DOLLY GIRL LUNCH BOX,11314.05
DOORMAT FANCY FONT HOME SWEET HOME,11296.76
HOME SWEET HOME METAL SIGN ,11253.220000000001
PAPER BUNTING WHITE LACE,11231.6
RED SPOT HEART HOT WATER BOTTLE,11222.2
CHOCOLATE THIS WAY METAL SIGN,11186.12
MINI PAINT SET VINTAGE ,11081.25
NATURAL SLATE CHALKBOARD LARGE ,10962.36
VICTORIAN SEWING BOX LARGE,10961.4
WOODEN BOX ADVENT CALENDAR ,10692.199999999999
HEART IVORY TRELLIS LARGE,10641.75
HOT BATHS METAL SIGN,10558.08
LADIES & GENTLEMEN METAL SIGN,10521.15
MEMO BOARD COTTAGE DESIGN,10506.550000000001
SET OF 72 RETRO SPOT PAPER  DOILIES,10423.199999999999
DOOR MAT FAIRY CAKE,10377.68
WHITE METAL LANTERN,10345.41
